key,zh,en
mediaStatText4,新华社、上海证券报、钛媒体、央视体育等 7 家头部媒体深度剖析 AI 物理智能价值,"Seven top-tier media organizations, such as Xinhua News Agency, Shanghai Securities News, TMTPost, and CCTV Sports, have provided in-depth examinations of the value of AI physical intelligence"
mediaStatTitle5,海外传播网络,Global Media Network
mediaStatText5,新华社英文版、China Daily 等多家海外媒体转发报道,"International coverage from Xinhua English, China Daily, and more"
partnersOrganizer,赛事主办单位,Organizer
partnersSponsor,赛事赞助伙伴,Sponsors
partnersSocial,官方社交媒体合作平台,Official Social Media Partners
partnersSupport,赛事支持单位,Supporting Partners
trackTitle,2025 决赛场地 - 天门山 99 道弯,2025 Final Venue — Tianmen Mountain's 99 Bends
trackSubtitle,AI竞速的终极挑战赛道,The Ultimate Arena for AI Racing
trackSpec1Label,全长,Track Length
trackSpec1,10.77 公里,10.77 km
trackSpec2Label,海拔提升,Elevation Gain
trackSpec2,200m → 1300m,200m → 1300m
trackSpec3Label,弯道数量,Number of Turns
trackSpec3,99 个弯道,99
trackSpec4Label,弯道类型,Corner Type
trackSpec4,极端 180° 发卡弯,Extreme 180° Hairpins
trackDescription,"天门山99道弯，被誉为""通天大道""，是全球最极限、最壮观的山路之一。大道两侧绝壁千仞，空谷幽深，180度急弯此消彼长。这里将成为AI竞速技术的终极试炼场，重新定义AI竞速的极限。","Known globally as the 'Avenue to the Sky,' Tianmen Mountain's 99 Bends is one of the world's most dramatic and technically demanding mountain roads. With sheer cliffs, deep valleys, and continuous hairpins, it stands as the ultimate proving ground for next-generation AI racing technologies."
trackImageTitle,天门山赛道全景,Tianmen Mountain — Full Track View
trackImageDesc,"天门山99道弯，被誉为""通天大道""，是全球最极限的山路之一。全长逾10公里，180度急弯此消彼长。这里将成为AI竞速技术的终极试炼场，重新定义AI竞速的极限。","The legendary 99 Bends stretch over 10 kilometers, with continuous 180° hairpins. This iconic mountain road serves as the definitive testbed for AI racing, pushing the limits of physical intelligence."
partnersTitle,合作伙伴,Partners
contactTitle,联系我们,Contact Us
contactGeneral,通用咨询,General Inquiries
contactMedia,媒体合作,Media Partnership
highlightsTitle,2025赛季高光时刻,2025 Season Highlights
